
2048.22,2022-05-23 06:29:13.029013+00:00,Uniswap,scraper
2033.18,2022-05-23 06:29:42.138339+00:00,Pancakeswap,scraper
2044.71,2022-05-23 06:29:59.360453+00:00,Uniswap,smart contract
2044.71,2022-05-23 06:29:59.478440+00:00,Uniswap,smart contract
2044.71,2022-05-23 06:30:06.089692+00:00,Uniswap,smart contract
2044.71,2022-05-23 06:30:17.757973+00:00,Uniswap,smart contract
2044.71,2022-05-23 06:30:24.225348+00:00,Uniswap,smart contract
2044.71,2022-05-23 06:30:39.543179+00:00,Uniswap,smart contract
2044.71,2022-05-23 06:30:46.569249+00:00,Uniswap,smart contract
2044.71,2022-05-23 06:30:51.021433+00:00,Uniswap,smart contract
2044.71,2022-05-23 06:30:53.261196+00:00,Uniswap,smart contract
2044.70,2022-05-23 06:30:58.528702+00:00,Uniswap,smart contract
2044.70,2022-05-23 06:31:19.580865+00:00,Uniswap,smart contract
2044.70,2022-05-23 06:31:21.848088+00:00,Uniswap,smart contract
2044.70,2022-05-23 06:31:34.935165+00:00,Uniswap,smart contract
2044.70,2022-05-23 06:31:46.666869+00:00,Uniswap,smart contract
2033187464693902.95,2022-05-23 06:32:05.173370+00:00,Pancakeswap,smart contract
2033187464693902.95,2022-05-23 06:32:07.283402+00:00,Pancakeswap,smart contract
2033187464693902.95,2022-05-23 06:32:11.441059+00:00,Pancakeswap,smart contract
2044.70,2022-05-23 06:32:13.273180+00:00,Uniswap,smart contract
2044.70,2022-05-23 06:32:13.393585+00:00,Uniswap,smart contract
2033187464693902.95,2022-05-23 06:32:13.543552+00:00,Pancakeswap,smart contract
2033187464693902.95,2022-05-23 06:32:17.701216+00:00,Pancakeswap,smart contract
2033187464693902.95,2022-05-23 06:32:19.811270+00:00,Pancakeswap,smart contract
2033187464693902.95,2022-05-23 06:32:21.924364+00:00,Pancakeswap,smart contract
2044.70,2022-05-23 06:32:21.942485+00:00,Uniswap,smart contract
2044.70,2022-05-23 06:32:22.049658+00:00,Uniswap,smart contract
2033187464693902.95,2022-05-23 06:32:26.080141+00:00,Pancakeswap,smart contract
2033187464693902.95,2022-05-23 06:32:28.191455+00:00,Pancakeswap,smart contract
2033187464693902.95,2022-05-23 06:32:32.354206+00:00,Pancakeswap,smart contract
2033187464693902.95,2022-05-23 06:32:34.473160+00:00,Pancakeswap,smart contract
2033187464693902.95,2022-05-23 06:32:38.633300+00:00,Pancakeswap,smart contract
2033187464693902.95,2022-05-23 06:32:40.742507+00:00,Pancakeswap,smart contract
2034053992684255.81,2022-05-23 06:32:44.910447+00:00,Pancakeswap,smart contract
2034053992684255.81,2022-05-23 06:32:47.014179+00:00,Pancakeswap,smart contract
2034053992684255.81,2022-05-23 06:32:49.118421+00:00,Pancakeswap,smart contract
2044.70,2022-05-23 06:32:50.815034+00:00,Uniswap,smart contract
2044.70,2022-05-23 06:32:50.922932+00:00,Uniswap,smart contract
2034929955847166.80,2022-05-23 06:32:53.273629+00:00,Pancakeswap,smart contract
2034929955847166.80,2022-05-23 06:32:55.373385+00:00,Pancakeswap,smart contract
2034929955847166.80,2022-05-23 06:32:59.532445+00:00,Pancakeswap,smart contract
2034929955847166.80,2022-05-23 06:33:01.645813+00:00,Pancakeswap,smart contract
2034929955847166.80,2022-05-23 06:33:05.804921+00:00,Pancakeswap,smart contract
2034929955847166.80,2022-05-23 06:33:07.907183+00:00,Pancakeswap,smart contract
2044.69,2022-05-23 06:33:08.707909+00:00,Uniswap,smart contract
2034929955847166.80,2022-05-23 06:33:10.017910+00:00,Pancakeswap,smart contract
2034929955847166.80,2022-05-23 06:33:14.440359+00:00,Pancakeswap,smart contract
2034929955847166.80,2022-05-23 06:33:16.572933+00:00,Pancakeswap,smart contract
2034929955847166.80,2022-05-23 06:33:20.772979+00:00,Pancakeswap,smart contract
2044.69,2022-05-23 06:33:21.551842+00:00,Uniswap,smart contract
2034929955847166.80,2022-05-23 06:33:22.906735+00:00,Pancakeswap,smart contract
2034929955847166.80,2022-05-23 06:33:25.022496+00:00,Pancakeswap,smart contract
