
price,date,exchange,type
2038.28,2022-05-23 07:11:36.208575+00:00,Pancakeswap,scraper
2050.31,2022-05-23 07:11:39.801659+00:00,Uniswap,scraper
2038.28,2022-05-23 07:11:46.369252+00:00,Pancakeswap,scraper
2038.28,2022-05-23 07:11:56.421105+00:00,Pancakeswap,scraper
2050.31,2022-05-23 07:11:59.833208+00:00,Uniswap,scraper
2038.28,2022-05-23 07:12:06.460371+00:00,Pancakeswap,scraper
2038.28,2022-05-23 07:12:16.488672+00:00,Pancakeswap,scraper
2050.31,2022-05-23 07:12:19.859303+00:00,Uniswap,scraper
2038.28,2022-05-23 07:12:26.528931+00:00,Pancakeswap,scraper
2038.28,2022-05-23 07:12:36.556771+00:00,Pancakeswap,scraper
2050.31,2022-05-23 07:12:40.234662+00:00,Uniswap,scraper
2038.28,2022-05-23 07:12:46.556587+00:00,Pancakeswap,scraper
2038.28,2022-05-23 07:12:56.576249+00:00,Pancakeswap,scraper
2050.31,2022-05-23 07:13:00.245373+00:00,Uniswap,scraper
2038.28,2022-05-23 07:13:06.600965+00:00,Pancakeswap,scraper
2038.28,2022-05-23 07:13:16.633931+00:00,Pancakeswap,scraper
2050.31,2022-05-23 07:13:20.267978+00:00,Uniswap,scraper
2038.28,2022-05-23 07:13:26.685969+00:00,Pancakeswap,scraper
2038.28,2022-05-23 07:13:36.717221+00:00,Pancakeswap,scraper
2050.49,2022-05-23 07:13:40.729465+00:00,Uniswap,scraper
2039.15,2022-05-23 07:13:46.764498+00:00,Pancakeswap,scraper
2039.15,2022-05-23 07:13:56.828908+00:00,Pancakeswap,scraper
2050.49,2022-05-23 07:14:00.793077+00:00,Uniswap,scraper
2039.15,2022-05-23 07:14:06.867165+00:00,Pancakeswap,scraper
2039.15,2022-05-23 07:14:16.904135+00:00,Pancakeswap,scraper
2050.49,2022-05-23 07:14:20.828235+00:00,Uniswap,scraper
2039.15,2022-05-23 07:14:26.930264+00:00,Pancakeswap,scraper
2039.15,2022-05-23 07:14:36.952891+00:00,Pancakeswap,scraper
2050.49,2022-05-23 07:14:40.853591+00:00,Uniswap,scraper
2039.15,2022-05-23 07:14:46.981402+00:00,Pancakeswap,scraper
2039.15,2022-05-23 07:14:57.002241+00:00,Pancakeswap,scraper
2050.49,2022-05-23 07:15:00.884710+00:00,Uniswap,scraper
2046.04,2022-05-23 07:15:07.026635+00:00,Pancakeswap,scraper
2046.09,2022-05-23 07:15:17.063729+00:00,Pancakeswap,scraper
2050.49,2022-05-23 07:15:20.905318+00:00,Uniswap,scraper
2046.09,2022-05-23 07:15:27.081679+00:00,Pancakeswap,scraper
2046.08,2022-05-23 07:15:37.108217+00:00,Pancakeswap,scraper
2050.49,2022-05-23 07:15:40.926928+00:00,Uniswap,scraper
2036.26,2022-05-23 07:15:47.120404+00:00,Pancakeswap,scraper
2036.26,2022-05-23 07:15:57.140264+00:00,Pancakeswap,scraper
2051.25,2022-05-23 07:16:00.961656+00:00,Uniswap,scraper
2036.72,2022-05-23 07:16:07.167500+00:00,Pancakeswap,scraper
2036.72,2022-05-23 07:16:17.183920+00:00,Pancakeswap,scraper
2051.25,2022-05-23 07:16:20.981590+00:00,Uniswap,scraper
2036.72,2022-05-23 07:16:27.206411+00:00,Pancakeswap,scraper
2036.72,2022-05-23 07:16:37.227466+00:00,Pancakeswap,scraper
2051.25,2022-05-23 07:16:41.006116+00:00,Uniswap,scraper
2036.72,2022-05-23 07:16:47.242478+00:00,Pancakeswap,scraper
2036.72,2022-05-23 07:16:57.260287+00:00,Pancakeswap,scraper
2051.25,2022-05-23 07:17:01.035728+00:00,Uniswap,scraper
2046.98,2022-05-23 07:17:07.281572+00:00,Pancakeswap,scraper
2046.97,2022-05-23 07:17:17.296658+00:00,Pancakeswap,scraper
2051.25,2022-05-23 07:17:21.051649+00:00,Uniswap,scraper
2036.72,2022-05-23 07:17:27.321311+00:00,Pancakeswap,scraper
2036.72,2022-05-23 07:17:37.376100+00:00,Pancakeswap,scraper
2055.05,2022-05-23 07:17:41.066956+00:00,Uniswap,scraper
2036.72,2022-05-23 07:17:47.400067+00:00,Pancakeswap,scraper
2036.72,2022-05-23 07:17:57.416427+00:00,Pancakeswap,scraper
2055.05,2022-05-23 07:18:01.102695+00:00,Uniswap,scraper
2046.94,2022-05-23 07:18:07.433919+00:00,Pancakeswap,scraper
2047.56,2022-05-23 07:18:17.455325+00:00,Pancakeswap,scraper
2053.23,2022-05-23 07:18:21.121163+00:00,Uniswap,scraper
2047.1,2022-05-23 07:18:27.479227+00:00,Pancakeswap,scraper
2047.1,2022-05-23 07:18:37.504097+00:00,Pancakeswap,scraper
2053.1,2022-05-23 07:18:41.146999+00:00,Uniswap,scraper
2036.72,2022-05-23 07:18:47.527044+00:00,Pancakeswap,scraper
2036.72,2022-05-23 07:18:57.541632+00:00,Pancakeswap,scraper
2053.1,2022-05-23 07:19:01.172563+00:00,Uniswap,scraper
2041.85,2022-05-23 07:19:07.559220+00:00,Pancakeswap,scraper
2041.85,2022-05-23 07:19:17.577956+00:00,Pancakeswap,scraper
2053.1,2022-05-23 07:19:21.195404+00:00,Uniswap,scraper
2041.85,2022-05-23 07:19:27.599453+00:00,Pancakeswap,scraper
2041.85,2022-05-23 07:19:37.621610+00:00,Pancakeswap,scraper
2053.1,2022-05-23 07:19:41.212988+00:00,Uniswap,scraper
2041.85,2022-05-23 07:19:47.642695+00:00,Pancakeswap,scraper
2041.85,2022-05-23 07:19:57.660080+00:00,Pancakeswap,scraper
2053.1,2022-05-23 07:20:01.229075+00:00,Uniswap,scraper
2041.85,2022-05-23 07:20:07.677909+00:00,Pancakeswap,scraper
2042.78,2022-05-23 07:20:17.695032+00:00,Pancakeswap,scraper
2053.1,2022-05-23 07:20:21.243226+00:00,Uniswap,scraper
2042.78,2022-05-23 07:20:27.707937+00:00,Pancakeswap,scraper
2042.78,2022-05-23 07:20:37.729087+00:00,Pancakeswap,scraper
2055.57,2022-05-23 07:20:41.381492+00:00,Uniswap,scraper
2042.78,2022-05-23 07:20:47.749777+00:00,Pancakeswap,scraper
2042.78,2022-05-23 07:20:57.770922+00:00,Pancakeswap,scraper
2055.57,2022-05-23 07:21:01.412777+00:00,Uniswap,scraper
2042.78,2022-05-23 07:21:07.795890+00:00,Pancakeswap,scraper
2042.78,2022-05-23 07:21:17.815677+00:00,Pancakeswap,scraper
2055.57,2022-05-23 07:21:21.430528+00:00,Uniswap,scraper
2042.78,2022-05-23 07:21:27.835573+00:00,Pancakeswap,scraper
