snapped_at,volume
2021-04-23 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-04-24 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-04-25 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-04-26 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-04-27 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-04-28 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-04-29 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-04-30 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-01 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-02 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-03 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-04 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-05 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-06 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-07 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-08 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-09 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-10 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-11 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-12 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-13 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-14 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-15 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-16 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-17 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-18 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-19 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-20 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-21 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-22 13:50:00 +0000,62887212601.14759865904453689895849716689969435141075992148709941098860742188232896024332744410038548016832
2021-05-23 13:50:00 +0000,42487443885.56255870948494242887028288541273170334166106355896794559296341355758832790570560121119318354816
2021-05-24 13:50:00 +0000,54225010204.16890963723321795653940321273248443210380021174717073889768548584835868931277523079691333856323
2021-05-25 13:50:00 +0000,52975426247.58622969039277792638420037188357625791202316646922616434176519334347652792141951043160462005376
2021-05-26 13:50:00 +0000,41574779736.8758478425687255182686411514559126637776336147245686532180034458295163660117815366688412373352
2021-05-27 13:50:00 +0000,36540912186.5991091396226309165042854503305199492495486349928700486741733009412523644294198287095246482
2021-05-28 13:50:00 +0000,37184281616.5099199754705624799429755333482431630319459212059911470754980053296978423781700183132019146595
2021-05-29 13:50:00 +0000,28678931529.31170697510849155236137607793242643435652587108037329475608607041455089625347436149104679634752
2021-05-30 13:50:00 +0000,29199726462.4796317897260549098211033764709129786157955530519907221500267696072195969373602744282534778
2021-05-31 13:50:00 +0000,25232038077.6511877357466117095643529117036199118380564392046563035048771741709830478138120078157413776826
2021-06-01 13:50:00 +0000,27773308702.06987738386367675383271104683312305850591427328592254816029675826125363851916201357127576026
2021-06-02 13:50:00 +0000,27710134206.17496410175607632047690507975614928951003415901805857071723957544118573553339948888589160547072
2021-06-03 13:50:00 +0000,30460860027.39527889072506442782352477348068883448478457375353559895557624097961158366471669813344028738
2021-06-04 13:50:00 +0000,33375313138.48833432836305450819785395475016440728144975779042468052194985214940602954131389942944365334
2021-06-05 13:50:00 +0000,24015592428.909710146838448774075382192629166193621034286801232641946206430343825069575861179186599705681
2021-06-06 13:50:00 +0000,17197060110.67659363069088755600381960171240542942317099818074017675252153265568183385607154498893307027456
2021-06-07 13:50:00 +0000,18520301861.7726004790014282409821323082421758199320865995637515738740131731107938870823828930531017037056
2021-06-08 13:50:00 +0000,31268278395.80366618971300783148781398246398945698293190313325760697594960479673289173623782588431939941664
2021-06-09 13:50:00 +0000,30626786430.105798138079964017961592
2021-06-10 13:50:00 +0000,28564728349.169386326520910936473338
2021-06-11 13:50:00 +0000,21383036337.791308917903745133247369
2021-06-12 13:50:00 +0000,21645718294.191479109893551134601395
2021-06-13 13:50:00 +0000,13229024448.348751548424266756678067
2021-06-14 13:50:00 +0000,21758734184.394905958825426377902238
2021-06-15 13:50:00 +0000,20488611892.8203802594562120320511
2021-06-16 13:50:00 +0000,19062325455.363777506026262000494796
2021-06-17 13:50:00 +0000,16991216581.729725507567892118218698
2021-06-18 13:50:00 +0000,16548499752.547707440787459897751902
2021-06-19 13:50:00 +0000,17175480972.749255613380572409778946
2021-06-20 13:50:00 +0000,15149802614.811599434162052101711904
2021-06-21 13:50:00 +0000,26828944105.370606284789979469923342
2021-06-22 13:50:00 +0000,32271738654.148613157962363006674677
2021-06-23 13:50:00 +0000,32532278980.160015627161439004815852
2021-06-24 13:50:00 +0000,19076493106.519597303915980513859516
2021-06-25 13:50:00 +0000,19549434124.551273662688419696580955
2021-06-26 13:50:00 +0000,20132614698.396213794743604995234784
2021-06-27 13:50:00 +0000,14387400015.095048723120695954318931
2021-06-28 13:50:00 +0000,16374913693.622726385293688478808369
2021-06-29 13:50:00 +0000,19223525851.175299579894784455386485
2021-06-30 13:50:00 +0000,18395478735.845342590001950841265038
2021-07-01 13:50:00 +0000,17714152870.572222521741637882072029
2021-07-02 13:50:00 +0000,13003349977.871040360936436639743995
2021-07-03 13:50:00 +0000,10715341222.067951998253684392860916
2021-07-04 13:50:00 +0000,10745071740.229613950088092495520859
2021-07-05 13:50:00 +0000,13694655513.974263564127769370455391
2021-07-06 13:50:00 +0000,15987389419.700870680000005413223645
2021-07-07 13:50:00 +0000,14914565104.677542309644576837495266
2021-07-08 13:50:00 +0000,17463587254.781744371427439879084901
2021-07-09 13:50:00 +0000,13136056056.169399944860603472002493
2021-07-10 13:50:00 +0000,11073596752.292744804510779465217845
2021-07-11 13:50:00 +0000,8500648694.957472848633383022414932
2021-07-12 13:50:00 +0000,9734209179.998056373726709550875143
2021-07-13 13:50:00 +0000,12004588367.807166985553006428412441
2021-07-14 13:50:00 +0000,13171768067.582997183396230545421181
2021-07-15 13:50:00 +0000,14956816501.161540022068991904255018
2021-07-16 13:50:00 +0000,13977475051.706400981750169727493368
2021-07-17 13:50:00 +0000,10524122769.931628875101146394119584
2021-07-18 13:50:00 +0000,9048853758.075945166288889406318179
2021-07-19 13:50:00 +0000,10171229911.676316821011907878488372
2021-07-20 13:50:00 +0000,12785458686.001810004909595814091317
2021-07-21 13:50:00 +0000,13250176609.618081366392788795627955
2021-07-22 13:50:00 +0000,17664454187.485262472750919015273148
2021-07-23 13:50:00 +0000,13549037671.569288159385727535882715
2021-07-24 13:50:00 +0000,17733854218.043797530170021157838702
2021-07-25 13:50:00 +0000,16931686728.066619521498938131482798
2021-07-26 13:50:00 +0000,26518052603.198493593783167644624564
2021-07-27 13:50:00 +0000,27296508567.617039424873462472385098
2021-07-28 13:50:00 +0000,22666551137.272273485216187948968991
2021-07-29 13:50:00 +0000,16390884295.906148565384927135214156
2021-07-30 13:50:00 +0000,16130084962.917443446897017854189922
2021-07-31 13:50:00 +0000,17130485696.109947909271525785756048
2021-08-01 13:50:00 +0000,15367143153.505188371432867071037032
2021-08-02 13:50:00 +0000,17675612402.95234109949850844809891
2021-08-03 13:50:00 +0000,15240058620.949765153331082746339973
2021-08-04 13:50:00 +0000,13786894563.005431416089935641292016
2021-08-05 13:50:00 +0000,19469249316.484936457971141318302892
